"attachments/0/style_list/0","attachments/0/style_list/1","attachments/0/style_list/2","attachments/0/style_list/3","attachments/0/style_list/4","commentUrl","commentsCount","date","facebookId","facebookUrl","feedbackId","id","likesCount","pageAdLibrary/id","pageAdLibrary/is_business_page_active","postTitle","profileId","profileName","profilePicture","profileUrl","text"
,,,,,"https://www.facebook.com/shujon/posts/pfbid02PGkqvv7nZUtLbhZQ8ULNkxYuJNgt6b9ocPZ5n63qjuKpbBxragJZx6xJjcf9TBXhl?comment_id=879266303955425",,"2024-04-15T20:46:26.000Z","10162316513442871","https://www.facebook.com/shujon/posts/pfbid02PGkqvv7nZUtLbhZQ8ULNkxYuJNgt6b9ocPZ5n63qjuKpbBxragJZx6xJjcf9TBXhl","ZmVlZGJhY2s6MTAxNjIzMTY1MTM0NDI4NzFfODc5MjY2MzAzOTU1NDI1","Y29tbWVudDoxMDE2MjMxNjUxMzQ0Mjg3MV84NzkyNjYzMDM5NTU0MjU=","1",,,"Now these are only memories. I will never forget you Professor Scott McClurg, you were an amazing person, simultaneously a great scholar and a good human. I have learned a lot from you. You were always terrific and energetic. You were my academic advisor always inspired me to do good work find new things. It is our great loss to lose you this time. May your departed soul rest in peace. My sincere condolences to your family.","pfbid02jxypjph3aVNSdqWJzyMokVu6zkf3wLrtzc8oKyVcc6kvdbz8VV8DSDaqHP44GwF6l","Pervez Khan","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/439841346_10161268981764836_4676027434830009525_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=qmkxKgdgvmoQ7kNvgFYbWOT&_nc_ht=scontent-iad3-1.xx&oh=00_AfC6C3uXEpsKjLMBg72KpgdAbf-hLLD-7mDHmYG9k17VVQ&oe=663F9F2E",,"Oh so sorry to hear about this :("
,,,,,"https://www.facebook.com/shujon/posts/pfbid02PGkqvv7nZUtLbhZQ8ULNkxYuJNgt6b9ocPZ5n63qjuKpbBxragJZx6xJjcf9TBXhl?comment_id=1416742485646636","1","2024-04-15T20:06:17.000Z","10162316513442871","https://www.facebook.com/shujon/posts/pfbid02PGkqvv7nZUtLbhZQ8ULNkxYuJNgt6b9ocPZ5n63qjuKpbBxragJZx6xJjcf9TBXhl","ZmVlZGJhY2s6MTAxNjIzMTY1MTM0NDI4NzFfMTQxNjc0MjQ4NTY0NjYzNg==","Y29tbWVudDoxMDE2MjMxNjUxMzQ0Mjg3MV8xNDE2NzQyNDg1NjQ2NjM2","1",,,"Now these are only memories. I will never forget you Professor Scott McClurg, you were an amazing person, simultaneously a great scholar and a good human. I have learned a lot from you. You were always terrific and energetic. You were my academic advisor always inspired me to do good work find new things. It is our great loss to lose you this time. May your departed soul rest in peace. My sincere condolences to your family.","pfbid02Uz739Q27U4rfwLzifJcKmbcrjdnCmdw4wqvTFh6iYxNgf3EHa7QAr5SinN4oKZi3l","Warefta Rahman","https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-1/435078457_7529050697161854_6329264780150757612_n.jpg?stp=c0.9.32.32a_cp0_dst-jpg_p32x32&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=F02tERY2BJcQ7kNvgFSlJTu&_nc_ht=scontent-iad3-1.xx&oh=00_AfCq0DmZarDvX9jYhUQr0iMYG2ENzJksnxTwxL5uPQJC4g&oe=663F86AC",,"Rest in peace. 
He was a good mentor. 😞"
,,,,,"https://www.facebook.com/shujon/posts/pfbid02PGkqvv7nZUtLbhZQ8ULNkxYuJNgt6b9ocPZ5n63qjuKpbBxragJZx6xJjcf9TBXhl?comment_id=967204871466988","1","2024-04-15T19:56:30.000Z","10162316513442871","https://www.facebook.com/shujon/posts/pfbid02PGkqvv7nZUtLbhZQ8ULNkxYuJNgt6b9ocPZ5n63qjuKpbBxragJZx6xJjcf9TBXhl","ZmVlZGJhY2s6MTAxNjIzMTY1MTM0NDI4NzFfOTY3MjA0ODcxNDY2OTg4","Y29tbWVudDoxMDE2MjMxNjUxMzQ0Mjg3MV85NjcyMDQ4NzE0NjY5ODg=","0",,,"Now these are only memories. I will never forget you Professor Scott McClurg, you were an amazing person, simultaneously a great scholar and a good human. I have learned a lot from you. You were always terrific and energetic. You were my academic advisor always inspired me to do good work find new things. It is our great loss to lose you this time. May your departed soul rest in peace. My sincere condolences to your family.","pfbid08mJGgApZ98ik5zR2saokJKFf7F5uDnTapsLrVo46ziHw6bc9trn9PZG66jj62Ncsl","Mahde Azad Masum","https://scontent-iad3-2.xx.fbcdn.net/v/t1.6435-1/38391619_880056095514436_6558489355336286208_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rRFWigoAU7EQ7kNvgG38pdA&_nc_ht=scontent-iad3-2.xx&oh=00_AfA535VeJcKmMvFo_VGKbB9V3IP20tNv_VohXcfxg-22eg&oe=66615ADF","https://www.facebook.com/mahde.azadmasum","শুভ কামনা মেহেদী ভাই"
,,,,,"https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l?comment_id=3266529586985974",,"2024-01-11T08:39:35.000Z","10162162805527871","https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l","ZmVlZGJhY2s6MTAxNjIxNjI4MDU1Mjc4NzFfMzI2NjUyOTU4Njk4NTk3NA==","Y29tbWVudDoxMDE2MjE2MjgwNTUyNzg3MV8zMjY2NTI5NTg2OTg1OTc0","0",,,"বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!","pfbid02wqmY63ococciCNWwoQRDbT877Yaj7kVL5nuqpA3UgrzDoL6nbW5Mh7qyttwx5Dmfl","Mahbubur Rahaman","https://scontent.fgla3-1.fna.fbcdn.net/v/t1.6435-1/65638989_2381202025269667_4469438303606669312_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=W8oOibH25LoQ7kNvgEQOETY&_nc_ht=scontent.fgla3-1.fna&oh=00_AfAVrByajpH_3A7ZLoyY0baXzZI2kWeSG282sCGdpPdgtw&oe=66614C13","https://www.facebook.com/mahbubur.rahaman.562","উনি ওতো স্বেচ্ছাারী সৈরশাসকদের মতো লিখেছে। বুঝাই যাচ্ছে সে চরম আওয়ামী ঘেষা"
,,,,,"https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l?comment_id=746087887411618","1","2024-01-10T12:52:22.000Z","10162162805527871","https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l","ZmVlZGJhY2s6MTAxNjIxNjI4MDU1Mjc4NzFfNzQ2MDg3ODg3NDExNjE4","Y29tbWVudDoxMDE2MjE2MjgwNTUyNzg3MV83NDYwODc4ODc0MTE2MTg=","2",,,"বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!","pfbid0kh8rY3H7X3d2HZk4QPARipnzDE5xCztGYnRuqSBt6iVGnDafi8CmRBYdUiaM9vvhl","Shafiq Shahin","https://scontent.fgla3-1.fna.fbcdn.net/v/t1.6435-1/131607844_10224108260271808_2164201337751704842_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=98vxcFfzSXoQ7kNvgH55st-&_nc_ht=scontent.fgla3-1.fna&oh=00_AfDX3ZjUJX4EX4DoaO5De0JERNe4-8fhnV_uVAhr3R6M0A&oe=666125BB",,"নেকুমেকু ভাই বোন"
,,,,,"https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l?comment_id=216894821478107",,"2024-01-10T05:44:19.000Z","10162162805527871","https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l","ZmVlZGJhY2s6MTAxNjIxNjI4MDU1Mjc4NzFfMjE2ODk0ODIxNDc4MTA3","Y29tbWVudDoxMDE2MjE2MjgwNTUyNzg3MV8yMTY4OTQ4MjE0NzgxMDc=","0",,,"বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!","pfbid02ePcGpVHGqL6AWKBsdsQTekhQygxirHtd894cmcDv6RtS3wkL1gmfhGwaUXTacGRnl","Nazmul Hasan Rephat","https://scontent.fgla3-2.fna.fbcdn.net/v/t39.30808-1/339302567_629767229026418_2193129545343150192_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=E42T04fcHwAQ7kNvgGerV3o&_nc_ht=scontent.fgla3-2.fna&oh=00_AfDybHX7_mZcp5L6mTmWf4Bn7hvRUw5hLJozxY7iHmxvpg&oe=663F9AA4",,"এরাই ফ্যাসিবাদের সুশীল দালাল।"
,,,,,"https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l?comment_id=684608580534276",,"2024-01-10T03:04:55.000Z","10162162805527871","https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l","ZmVlZGJhY2s6MTAxNjIxNjI4MDU1Mjc4NzFfNjg0NjA4NTgwNTM0Mjc2","Y29tbWVudDoxMDE2MjE2MjgwNTUyNzg3MV82ODQ2MDg1ODA1MzQyNzY=","1",,,"বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!","1271711271","Palash Sharker","https://scontent.fgla3-2.fna.fbcdn.net/v/t39.30808-1/428709425_10230836040705862_8227879744876365252_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=QQtCU5rjaaQQ7kNvgHEKTmu&_nc_ht=scontent.fgla3-2.fna&oh=00_AfDuLUbxK1eiAFQnVN0AZ5jMGM2x4RvLPIN4LAiWB1Rqbg&oe=663FA083","https://www.facebook.com/palash.sharker","কাল এইটা পড়ে অনেকখন হাসছি। বয়স হলে ব্রেইন কাজ করার ক্ষমতা হারিয়ে ফেলে।"
"photo","fallback",,,,"https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l?comment_id=849173016984361","3","2024-01-10T02:31:53.000Z","10162162805527871","https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l","ZmVlZGJhY2s6MTAxNjIxNjI4MDU1Mjc4NzFfODQ5MTczMDE2OTg0MzYx","Y29tbWVudDoxMDE2MjE2MjgwNTUyNzg3MV84NDkxNzMwMTY5ODQzNjE=","2",,,"বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!","pfbid0jwnCzpHgoFZzyMZXoPbULcH31igFNrP3VVQy42JLS1B6PxdtveeMzVYyE5iNUp3Hl","Shah Jahan Shuvo","https://scontent.fgla3-2.fna.fbcdn.net/v/t39.30808-1/355844539_10231362106017728_6523099732623079587_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=U4Y9WZLqLkUQ7kNvgGjOb9R&_nc_ht=scontent.fgla3-2.fna&oh=00_AfCPBVYLPse3Yy6SyQfd0LD8A1bF8dG-rhLHBWj0A9jwMA&oe=663FB26E","https://www.facebook.com/shahjahan.shuvo.9","এইডারে দেখেন!"
,,,,,"https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l?comment_id=1085649739122151",,"2024-01-09T20:30:29.000Z","10162162805527871","https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l","ZmVlZGJhY2s6MTAxNjIxNjI4MDU1Mjc4NzFfMTA4NTY0OTczOTEyMjE1MQ==","Y29tbWVudDoxMDE2MjE2MjgwNTUyNzg3MV8xMDg1NjQ5NzM5MTIyMTUx","0",,,"বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!","1845049508","Jahangir Alam Mintu","https://scontent.fgla3-2.fna.fbcdn.net/v/t39.30808-1/402177804_10219642190045702_4672339416440464159_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=UXy9P_CyHWIQ7kNvgHnVYFn&_nc_ht=scontent.fgla3-2.fna&oh=00_AfAnVxNatFoQqw8yjk4_88O1P8ftwSNCCnV_IuO2nF88YQ&oe=663FB693","https://www.facebook.com/jahangir.mintu","মহশিনা হোসেন অনেক আগেই দাদাদের খপ্পরে পড়েছেন।"
,,,,,"https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l?comment_id=1104402027244785","1","2024-01-09T19:19:18.000Z","10162162805527871","https://www.facebook.com/shujon/posts/pfbid0TetpyLKcYXsRzZkh9jRTTCYMXsaentN5rLphYx1XbYSHrGZ9Pce4f5q6Jm3sFP39l","ZmVlZGJhY2s6MTAxNjIxNjI4MDU1Mjc4NzFfMTEwNDQwMjAyNzI0NDc4NQ==","Y29tbWVudDoxMDE2MjE2MjgwNTUyNzg3MV8xMTA0NDAyMDI3MjQ0Nzg1","0",,,"বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!","pfbid0QKhenpCJFmZACi4MVcNLYrUbriBMATBrUiPnrvd3C7o4DDRc74R7xWzkHasniHUtl","Md Main Uddin","https://scontent.fgla3-2.fna.fbcdn.net/v/t39.30808-1/380690732_7290905984257738_5829293615731674723_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=p5vglLH602gQ7kNvgG5mS8e&_nc_ht=scontent.fgla3-2.fna&oh=00_AfC8jg9N_EwG3dbTaY-U6gEhawjcSPL9zYauv8TWZDMp8g&oe=663F892E","https://www.facebook.com/therony.me","They forgot about what happened in 2018."
