text,emotions
"**এই ছবিগুলা দেখতে কেউ ভুল করবেন না**
কারণ সুযোগ বার বার আসে না,হতেপারে এখানেই কারো জীবনের সুবর্ণ সুযোগ..! বাংলাদেেশ এখন পড়াশুনা করার জন্য সম্পূর্ণ প্রতিকূল পরিবেশ বিরাজমান.! আর রাজনৈতিক নোংরামির বেড়াজালে বাংলার তরুণ উদীয়মান মেধার অকাল মৃত্যু হচ্ছে.! যেখানে বাংলাদেশের থেকেও কম খরচে, বিদেশ গিয়ে উচ্চতর ডিগ্রি অর্জন ও উন্নত জীবনযাপন এর সুযোগ এখন আপনার নখদর্পণ এ..!!
তাই বিবেকবান ও মেধাবীদের কাছে আমার আবেদন :- একটু বিবেচনা করে দেখবেন,বাস্তবে কতটুকু সুযোগ এখানে রয়েছে..!! যোগাযোগ :-… See more",Admiration
"প্রয়োজনে কেউ পাশে থাকে না।
feeling-অসহায় 
 ",Sadness
"জীবন-মৃত্যুর সন্ধিক্ষণে দন্ডায়মান রিহামকে বাঁচাতে #আমরাই_নোয়াখালী গিয়েছে স্কুল কলেজ পড়ুয়া ছাত্র-ছাত্রীদের কাছে।তাঁরা তাদের ক্ষুদ্র ক্ষুদ্র প্রয়াস নিয়ে এগিয়ে এসেছেন আমাদের সাথে।সাহায্যের হাত বাড়িয়ে দিয়েছেন যে যেভাবে পেরেছেন।আমাদের বিশ্বাস আমরা আপনারা সবাই মিলে রিহামকে ফিরিয়ে আনতে পারবো,হাসপাতালে দীর্ঘ১৬মাস অপেক্ষারত বাবা-মায়ের অপেক্ষার প্রহর একদিন শেষ হবে ইনশা-আল্লাহ। 
যদি কেউ সাহায্য পাঠাতে চান,এই নাম্বারে বিকাশ করতে পারেন:০১৭২৩৪৫২৩৪৫(এডমিন-""আমরাই নোয়াখালী"")
বি:দ্র:ছবি গুলো শ… See more",Sadness
"here we go.
the journey has started.
চলে যাচ্ছি নেটওয়ার্কের বাইরে (11-14 dec)।
#দারুচিনি_দ্বীপ… See more",Joy
"আজকের দিনটি ছিলো একটি অসাধারণ দিন! নোবিপ্রবির ইতিহাসের সবচেয়ে বড় আইটি ইভেন্ট হয়ে গেছে আজকে। সব মিলিয়ে প্রায় ১৫০০ মানুষের অংশগ্রহণে আয়োজিত একটি অনুষ্ঠান। 
অনুষ্ঠানটিতে ছিলো অনেক কিছু জানার এবং শেখার। বিশেষ করে আয়োজন করতে গিয়ে নানান সময়ে হুট-হাট করে সামনে আসা সমস্যাগুলোর দ্রুত সমাধান করতে হয়েছে। এটা অনেক কিছুই শিখিয়েছে। 
#ভলান্টিয়াররা অসাধারণ কাজ করেছে। ওরা এত পরিশ্রম করেছে যে তা কেউ না দেখে থাকলে বলে বোঝানো মুশকিল। ওদের এই আন্তরিক পরিশ্রম ছাড়া অনুষ্ঠানটি কোনভাবেই ঠিকমত সম্পন… See more",Admiration
"সম্মুখে চেয়ে দেখে, করো হাপিত্যেশ
                                  তৌহিদুল  ইসলাম ভূঞা
সম্মুখে চেয়ে দেখে, করো হাপিত্যেশ
ভিজিয়ে নয়নখানি, করো আপসোস… See more",Remorse
"মেঘের পরে মেঘ জমেছে
- রবীন্দ্রনাথ ঠাকুর
মেঘের পরে মেঘ জমেছে, 
আঁধার করে আসে- … See more",Joy
"এড়িয়ে যাবেন না....
 নামাজে মনোযোগ হবার একটি পদ্ধতি।
 ----
আমরা যখন নামাজে দাড়াই তখন শয়তান আমাদের অন্তরে নানারকম
… See more",Optimism
"জান্নাতের মহিলাদের সর্দার হযরত ফাতেমা (রাঃ) এর ১৪০০ বছর পূর্বের বাড়ী, যাহা মদিনাতে অবস্থিত। একজন মুসলমান হিসেবে নিজেকে খুব ভাগ্যবান মনে করছি এই ছবি দেখতে পেরেছ… See more",Love
"সাকিবের ইন্টারভিউটা দেখলাম। একটা ভিজিবল ব্যাপার অনেকেই ওভারলুক করতেছেন। সাকিব বলতেছেন, তিনি কোন কিছুর সাথে জড়িত না, তিনি কিছুই জানেন না। কিন্তু ওপেন প্ল্যাটফর্মে বসে তামিমের দোষত্রুটি বিদ্রুপাত্মক উপায়ে প্রেজেন্ট করতেছেন। মানে, তিনি যদি আসলেই জড়িত না হন, সেক্ষেত্রে ইন্টারভিউ এর টোনটা নিউট্রাল পয়েন্ট থেকে হওয়ার কথা ছিলো। অথচ আমরা দেখতেছি, ব্যাপারটা এমন, ইন্টারভিউটা অনেকটা সাদা কাপড় ধোয়ার সময় চমক ফেব্রিক ব্রাইটেনার ইউজ করতে গিয়ে মনের ভুলে নীল রঙের স্পট লাগায়ে দেয়ার মতো।
কথার বা… See more",Confusion
"ঢাকার ড্রেনেজ ব্যবস্থা আগামীতে আরো খারাপ হতে পারে। এটা শুধু ওয়াসার ইস্যু নয়।
বৃষ্টির পানি বিদায়ের জন্য ওয়াসার আন্ডারগ্রাউন্ড সুয়্যারেজ সিস্টেম খরচের দিক দিয়ে সব সময়ই দ্বিতীয় ব্যবস্থা। প্রথমটা সবসময় প্রাকৃতিক 'সারফেস রান অফ' বা পানি সরাসরি প্রবাহিত হয়ে চলে যাওয়া, যেটা ঢাকাতে আগামী দিনগুলোতে নিশ্চিত করা আরো কঠিন হবে।
বৃষ্টি পানির সারফেস রান অফের জন্য প্রয়োজনীয় বিষয় প্রাকৃতিক ড্রেনেজ, যেটা বিভিন্ন ডোবা-নালার নেটওয়ার্কের মাধ্যমে হাজার বছর ধরে নির্দিষ্ট এলাকা (ক্যাচমেন্ট … See more",Sadness
"লোনলি দুপুর যদি কেটে যায় ইলিয়াসের অন্য ঘরে অন্য স্বরে, আর
ব্যাকগ্রাউন্ডে ""তোমার প্রিয় ঋতু বর্ষা তাই, সারাবছর ধরে মেঘ জমাই"",
জীবনে শান্তির জন্য এর চেয়ে বেশি কিছু লাগে না৷",Admiration
"প্যারা লাগে এটা দেখে যে, চারপাশের অনেককেই এই পোস্ট নিয়ে ট্রল করতে দেখছি। অথচ হিউম্যান সাইকোলজি যে কতটা বিচিত্র এবং এই বৈচিত্র
‍
্য নিয়েও যে কত সায়েন্টিফিক এক্সপ্ল্যানেশন্স আছে এগুলো তারা জানে না। 
একজন আর্টিস্টিক মানুষের কাছে কনভেনশনাল কাজকর্ম প্যারাদায়ক লাগবেই৷ কনভেনশনাল বলতে শাব্দিক মিনিং ভেবে নিয়েন না৷ 
এই দুইটাই সাইকোলজিক্যাল টার্ম। বেইসিকলি, কনভেনশনাল ট্রেইটস হলো যেকোন স্ট্রাকচারড, সিস্টেমেটিক, অরগানাইজড, ডিটেইল্ড কাজকর্মের প্রতি ইনক্লিনেশন৷ ভেবে দেখেন, আর্টিস্টিক পিওপল সব… See more",Amusement
আমার ভালো লাগছে না।,Sadness
"""লিখনের অন্দরে"" সাহিত্য বিষয়ক কর্মশালায় আজকের সেশনে আলোচ্য বিষয় ছোটগল্প। অতিথি হিসেবে আছেন ড. শাহাদুজ্জামান।",Excitement
"""লিখনের অন্দরে"" সাহিত্য বিষয়ক কর্মশালায় আজকের সেশনে আলোচ্য বিষয় উপন্যাসের নানা দিক। অতিথি হিসেবে আছেন দুই বাংলার জনপ্রিয় লেখক কল্লোল লাহিড়ী।",Excitement
এই জোড়াতালির পড়ালেখা আর ভাল্লাগে না রে!,Sadness
"আঠারো পেরোতেই মাল্টিডাইমেশনাল তীরের ফলা বিঁধতে থাকে গায়ে, হাতে, পায়ে। এইসব ইন্টারনাল এক্সটার্নাল ক্ল্যাশ সহ্য করে সারভাইভ করতে পারার জন্য বিশাল স্ট্রাগল লাগে৷ 
ছোটবেলায় ভাবসম্প্রসারণে পড়তাম ""দুঃখের মতো এতো বড় পরশ পাথর আর নেই""। কথাটা সত্য। এই স্ট্রাগলগুলোই ভাবতে শেখায়, চিন্তা করতে শেখায়, এম্প্যাথেটিক হতে শেখায়৷ জীবনবোধের জন্ম দেয়। মানুষের প্রতি সে জীবনবোধ, মানুষের প্রতি সে দায়িত্ববোধ৷ 
সেই তাড়না থেকে Relaxy তে আসা। মানুষের ভালো করার ইন্টেনশনটা কিছুটা হলেও ইমপ্লিমেন্ট করার আশা … See more",Realization
"জীবনে আসা ঝড়-ঝাপটায় কখনো ভেসে যেতে চাইনি, চেয়েছি সাহসী নাবিকের মতো অগ্রসর হতে। ""আমার মধ্যে সংগ্রাম আছে, তাই আমার মধ্যে বহু গল্প আছে। এসব গল্পের মাধ্যমেই হয়তো মু… See more",Optimism
"আমাদের আয়নাঘর নিষিদ্ধ। 
জন্মদিনগুলোতে মুখ দেখার তীব্র ইচ্ছেতে
একটা কাচের গ্লাস হাতে
পানি পানের অভিনয় করতাম। … See more",Sadness
"একটা সিস্টেম কতটা খারাপ, আমরা জানার চেষ্টা করি না, জানার আগ্রহও আমাদের নাই, এর চেয়ে ভয়ংকর আর কী হতে পারে! 
একটা জিনিস ভাবেন, ছোট থেকে যেরকম প্যারেন্টিং এর মধ্য দিয়ে বেশিরভাগ বাঙালি বা সাবকন্টিনেন্টাল ছেলেমেয়ে গো থ্রু করে, লাইক ""ফলো দ্য রুল এন্ড ডু ইট এজ আই সে"", এই জিনিসটা যে কেবল প্যারেন্টাল কমান্ডিং মধ্যে সীমাবদ্ধ তা কিন্তু না। 
একটু ব্রডারে সেন্সে ভাবলে দেখবেন, আমাদের একাডেমিয়াটাও এমন৷ আমাদের সম্পূর্ণ জীবনটাই এমন। অন্য সব নিয়ে আজকে প্যাঁচাল দেবো না, জাস্ট একাডেমিয়া নিয়ে কিছ… See more",Sadness
"Farid Uddin Rony ভাই হঠাৎ নক দিয়ে বললেন, স্বাধীনতা দিবস উপলক্ষ্যে লেখা দিতে হবে। ইত্তেফাকের পাক্ষিক অনন্যার জন্য। লেখা নাকি আগামী ২/৩ ঘণ্টার ভেতরেই দিতে হবে।
আমি তখন একটা কাজে বাইরে আছি। এর মধ্যেই ফটাফট কয়েকটা লাইন লিখে দিলাম। 
নিজেকে কবি, লেখক বলতে লজ্জা লাগে। শিক্ষার্থীই দিতে চেয়েছিলাম। রনি ভাই বললেন, শিক্ষার্থীর কোটা নাকি পূর্ণ হয়ে গেছে, অন্য পেশার নারী লাগবে। নিজে থেকেই তরুণ কবি লেখক জুড়ে দিলেন৷ 
সবশেষে ধন্যবাদ, ভাই৷",Sadness
"এই বসন্তে অনেক জন্ম আগে
তোমায় প্রথম দেখেছিলেম আমি
হেঁটেছিলেম নিরুদ্দেশের পানে
সেই বসন্ত এখন ভীষণ দামি
আমার কাছে, তোমার কাছে,… See more",Love
"মেরুন 
    রঙের 
       উল্লাসে … See more",Joy
"হ্যাল্লোওওওও!!!
ইলেক্ট্রিসিটি বস!!! 
Emaz ",Love
" HSC Special LIVE: Physics | চল তড়িৎ
 16910 নম্বরে কল করো টেন মিনিট স্কুলের HSC পরীক্ষার প্রস্তুতি কোর্সগুলো সম্পর্কে যেকোনো তথ্য জানতে।",Neutral
"তাদের জন্মের বছর হয় কাছাকাছি, জন্মের মাস হতে পারে কাছাকাছি, জন্মের তারিখও কাছাকাছি। তারা কেউ জানে না। 
দুটো বড় পাখি পালকের ওমে তাদের গরম গরম রাখে। ভাপা পিঠার ভেতর খয়েরি খয়েরি যে খেঁজুর গুড় থাকে, তার স্বাদের মতো। বড় দুই পাখি পৃৃথিবীর শ্রেষ্ঠতম দানবীর বলে জানে না, জানতে চায় না, এই যে ওমে থাকা-দেখতে কেমন লাগে? মুখে দিলে কেমন লাগে? এক কথা, এক কাজের ধ্যান করে। 
চরকির মতো এলেবেলে ঘুরতে ঘুরতে একুশ বাইশ বছর পর দেখা হয় তাদের। কেমন ঝটকা দিয়ে মিশে যায় সব ছেড়েছুড়ে! তারা এটুকু আলো হাতে ঘু… See more",Love
"মুক্তির অবশেষটাও শেষ হয়ে যাবে। 
এখন যেমন থাকি, পরেও শিং মাছের মতো জালে আটকে থাকবো। 
হয় জাল ছিঁড়ে বের হওয়ার চেষ্টা করবো, যাপিত যাত্রাপালা ভিন্ন হবে, প্লুটো কিংবা ইউরেনাসের কোন এক নভোচারী হতে পারি। 
নয়তো পাতিলের ফুটন্ত জলে সেদ্ধ হবো বা পোড়া পোড়া মাছ ভাজা হয়ে যাবো, এটা হলে চর্মচোখে অত্যন্ত সুস্বাদু হবো। … See more",Sadness
সবার মতামত কাম্য!,Approval
আসন্ন কোন একটা কবিতার বইয়ের নাম হিসেবে কোনটি ভালো লাগে? ,Curiosity
"বাচিকতায় একেবারেই আনাড়ি। তবু ইদানীং মাঝে মাঝে শখের বশে একটু আধটু করি। ভুলত্রুটি ক্ষমাসুন্দর দৃষ্টিতে দেখবেন। 
তসলিমা নাসরিনের এই লেখাটি আমার খুব পছন্দের। এতো সহজ, কিন্তু এতো আবেগ ছোট্ট চিঠিটায়!",Admiration
"এই যে আপনি মানুষকে দুইটা ভালো কথা বলতে পারেন না, আপনার মধ্যে ইনফিরিওরিটি বা সুপেরিওরিটি কমপ্লেক্স চলে আসে, বিশ্বাস করেন, জীবনে এর চেয়ে দুঃখের আর কিছু নেই। এই টাইপের সমস্যা থাকাটা দোষের না, এই সমস্যাটি কেউ ইচ্ছা করে জন্ম দেয় না, কিন্তু পূর্ণাঙ্গ বয়সে এসে নিজের এই ব্যাপারগুলো নিয়ে সচেতন হওয়া জরুরি। আপনার মধ্যে কিন্তু কোন কিছুর কমতি নেই, আর কোন কিছু বেশি থাকলে সেটা আলাদা করে দেখানোরও প্রয়োজন নেই মনে হয়। 
তাই একবার নিজের সাথে ফাইট দেন, মানুষকে ভালো বলা, ভালো পাওয়ার অভ্যাস করেন, দ… See more",Realization
"পাঠক হিসেবে নিজের অধোমুখিতা ভীষণ মন খারাপ করে দেয়৷ তেরো চৌদ্দ বছর বয়সে, এমনকি ষোল সতেরোতে যে আমি ২/৩ ঘণ্টায় ২০০/৩০০ পৃষ্ঠার বই পড়ে ফেলতাম, সে আমি এখন ৩/৪ দিন লাগিয়ে ১০০-২০০ পৃষ্ঠার একটা উপন্যাস পড়ি। সবাই বলে, হাজারটা ডেডলাইন্সের খপ্পড়ে পড়ে এই অবস্থা। অথচ লেখাপড়ার চাপ আগেও ছিলো, এখনো আছে। কিন্তু তখন আমি ছিলাম না কোন ঘোড়া, জীবনও ছিলো না কোন সহিস। আর এখনের দিনকাল...  একটু যদি জিরোতে মন চায় পিঠে পড়ে দমাদম লাঠির বাড়ি, রুগ্ন, ক্লান্ত দেহে হাঁটো, দৌঁড়াও তপ্ত বালিতে।",Realization
