text,images,videos,gender
"জনশূণ্য হাইওয়ে 
#highway #road #clouds",[],[],m
"বিচিত্র বাংলাদেশের এক অদ্ভুত সুন্দর দৃশ্য দেখাই আপনাদের! বিস্তীর্ণ হাওর উপচানো জল বাঁধ উপচে গড়াচ্ছে নদীতে! সেই স্রোতধারায় জলকেলি করছে হাওরের শিশুরা! বাঁধভাঙ্গা স্রোতের ধাক্কায় টালটামাল এই জায়গায় নিজ পায়ে দাঁড়াতে আমাদের অনেককে কয়েকবার জন্মাতে হবে অথচ হাওর শিশুরা এখানে ঘরের উঠানের মত সাবলীল! 
এই সবই মেঘালয়ের অতিবৃষ্টিতে নেমে আসা পাহাড়ি ঢলের পানি; এ পানি তদ্দিন নদী ধরে বঙ্গোপসাগরে গড়িয়ে যাবে যদ্দিন না সারাদেশের সব নদনদী নববর্ষা এসে ভাসিয়ে না নিবে! সারাদেশের সব নদী উপচালে পরেই স… See more",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448099783_10232493390658402_5022784854170536243_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=YGHt0L7mtZwQ7kNvgGsLyrf&_nc_ht=scontent.fird1-1.fna&oh=00_AYC7s8BlpreV9b8KgwCJf5o0BT_w6Ab6S29cMQ_gIBS8Zw&oe=666F3D73'],[],m
"অপরূপা যেন স্বর্গের কিন্নর 
 আমাদের রাসেলের রাসেল ভাইপার হর্স ",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448095491_10232493225534274_8212168167467917433_n.jpg?stp=dst-jpg_p180x540&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=DqxnJ6qtGvsQ7kNvgETiTJ3&_nc_ht=scontent.fird1-1.fna&oh=00_AYDVrqZWkdze5_9d3A1jnhI8nj9P-zWcTbHIijvJGGSQ6g&oe=666F308B'],[],m
শনির হাওরে জগতজ্যোতি’র গলুইয়ে অস্ত যাচ্ছে সূর্য। আমাদের রিনোভেশন শেষের দিকে। ঈদের পরের যেকোন ডেটে বুকিং দিতে পারবেন ,['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448099600_10232491979143115_1716197555770698056_n.jpg?stp=dst-jpg_p526x296&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=oY8RdKJgzlkQ7kNvgE9XQOK&_nc_ht=scontent.fird1-1.fna&oh=00_AYDrltzrMr7H6S6rm3E8vwfXAD8_3fA8yAayo5_XYewvFQ&oe=666F5494'],[],m
শনির হাওরের দিগন্তবিহীন জলরাশি,['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448173368_10232491654374996_3341952129870264969_n.jpg?stp=dst-jpg_p180x540&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=CG8avKRB7wAQ7kNvgGgVlKk&_nc_ht=scontent.fird1-1.fna&oh=00_AYBSTWPf5XttcOoU4wRBAsx2mebdiHZ7FQq_7yv5rPGqFw&oe=666F4ECF'],[],m
"ডলুরা সীমান্তের ধোপাজান নদীতে সন্ধ্যা 
#border #hill #river",[],[],m
"সুনামগঞ্জের যদ্দুর দেখেছেন, 
তারচে অনেক বেশি এখনো দেখার বাকি! 
 আজ সন্ধ্যায় ধোপাজান নদীতে",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448087177_10232486400443651_9067367854603149161_n.jpg?stp=dst-jpg_s640x640&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TdXTubwIHmYQ7kNvgFsL0TE&_nc_ht=scontent.fird1-1.fna&oh=00_AYCBzlsbbbdvAuGBGjcmleJ-GeJDbFM6GVa-3DmRHnljgA&oe=666F5B07'],[],m
সন্ধ্যা নামার মুখে জমিদারী দেখতে বেরোলাম ,['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448097180_10232485471500428_4861747463728313002_n.jpg?stp=dst-jpg_p180x540&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=IthzE9mWROoQ7kNvgHgEbeq&_nc_ht=scontent.fird1-1.fna&oh=00_AYCQtzE-SW-zHaoHLVNnzzMqa7brEctB4bkOW5kQhVYzyg&oe=666F5324'],[],m
"সুরমা নদীর ইলিশ 
 #hilsha #ilish #fish #sylhet #surma",[],[],m
যারা ঘাউড়া আর বাচা মাছ আলাদা করে চিনেন না তাদের জন্য এই টিউটোরিয়াল! ,"['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448183650_10232483862020192_8581834682114207098_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TlHa1NuQNHAQ7kNvgEUOFiq&_nc_ht=scontent.fird1-1.fna&oh=00_AYCoiuDzdzWyOnPVZOFIWfOjGzReau0iggzb8MYAMHb3TQ&oe=666F51C4', 'https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448183249_10232483862380201_3706550266129494955_n.jpg?stp=dst-jpg_p280x280&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=eCS5GEoFKqAQ7kNvgHVQAk1&_nc_ht=scontent.fird1-1.fna&oh=00_AYCxjTkvv6FfC2qQft-3sClVwMMbORhxdVcmGq220fu8UQ&oe=666F4EC9']",[],m
