text,images,videos,gender
"It will be important for the Tigers to keep the winning momentum up when they take the Proteas on in the second group-stage match in New York.
নিউইয়র্কে গ্রুপ পর্বের দ্বিতীয় ম্যাচে প্রোটিয়াদের বিপক্ষে জয়ের গতি ধরে রাখাটা টাইগারদের জন্য গুরুত্বপূর্ণ হবে।
#SAH75",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448028197_1016736296472296_4145543016553482151_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=8L8Yq5B1VRwQ7kNvgG-vduV&_nc_ht=scontent.fird1-1.fna&oh=00_AYBrFei1FrCu_2aq04hpd-KDt8woSBRllRnRn3Y6QQtauw&oe=666F6038'],[],m
"স্ট্যাম্পে লাথি মারার সময় কি ভাবছিলেন সাকিব? জানতে হলে অপেক্ষা করুন। খুব শীঘ্রই আসছে অলিম্পিক এনার্জি প্লাসের সৌজন্যে সাকিব আল হাসানের এক্সক্লুসিভ ইন্টারভিউ 'সাকিব আল হাসান বিশ্বকাপ স্পেশাল' শুধুমাত্র Bongo-তে।
#ExclusiveInterview #ShakibAlHasan #SAH75 #Cricket  #Bangladesh #worldcup #bongo",[],['https://www.facebook.com/watch.bongo/videos/1176062287163210/?__cft__[0]=AZVafRZ0H1XKMRug6c9bVRs91LZUs9CYcOsdD9VDN0jzSWeLcWV9b_-irsJ0D8VVu7xoL-yyrMcxffTI1M8WOJv9GMRk3yzi1XbPxCvXnUkjCms7jz98o8UIXf5HUJikQvy5b79DbbkeiFXuqd1UL6fCctcADEIdZnfMEsp2QHs4xXlzCoZLtvOemxzEgOzJeQrZGuZCghmSJeth232EwASv&__tn__=%2B%3FFH-R'],m
"The triumphant Tigers begin their T20 World Cup campaign in style, defeating the Lankans by 2 wickets and sealing their first win of the tournament.
বিজয়ী টাইগাররা শৈলীতে তাদের টি-টোয়েন্টি বিশ্বকাপ যাত্রা শুরু করলো, লঙ্কানদের ২ উইকেটের জয়ের ম্যাধমে এবং টুর্নামেন্টে তাদের প্রথম জয় নিশ্চিত করে।
#SAH75",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447995167_1015915369887722_6825570171894045812_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jf1WQsuyoDYQ7kNvgG8elex&_nc_ht=scontent.fird1-1.fna&oh=00_AYBasfrfCNyFP6ZPZQwcen4QRROtJplKLVyem8A8iHD7aw&oe=666F6276'],[],m
"শ্রীলঙ্কার খেলোয়াড় অ্যাঞ্জেলো ম্যাথিউজের সাথে সেই 'টাইম আউট' বিতর্ক নিয়ে এবার মুখ খুলবেন সাকিব আল হাসান। দেখতে চোখ রাখুন Bongo-তে। খুব শীঘ্রই আসছে  অলিম্পিক এনার্জি প্লাস বিস্কুটের সৌজন্যে এক্সক্লুসিভ ইন্টারভিউ 'সাকিব আল হাসান বিশ্বকাপ স্পেশাল'।
Stay tuned as Shakib Al Hasan finally speaks out about the 'time out' controversy with Sri Lankan player Angelo Mathews. Watch this exclusive interview, ""Shakib Al Hasan World Cup Special,"" coming soon on Bongo, presented by Olymp… See more",[],['https://www.facebook.com/watch.bongo/videos/983199950475151/?__cft__[0]=AZVoQEr0_X2PR7rEPP8HrVrDf8VwTJ938RNAcQgxqzRuxxKYE7ni6hwjRatwdy340pDYabNi0rzMVAJGsck1Ln15qQQklJlP8OseUO4JF8R1_mqRHao5MEezbm5zhjeU7NL1TBTyCWv6nuMMcOLkmCVWg1_IMXgdNGLEYWxaxjpobUEXySbQ7yjK4ogQTrY4gL0noFwHYE7QyUkkOhWR2Y5U&__tn__=%2B%3FFH-R'],m
"Step Footwear presents SAH75 নিয়ে এলো প্রিমিয়াম কোয়ালিটির অ্যাকটিভ ওয়্যার এবং এক্সেসোরির। শপিং'এর বাজারে এবার হবে ছক্কা। তাই শপিংয়ের আনন্দে মেতে উঠুন SAH75 এর সাথে।  স্টেপের নির্ধারিত শোরুমগুলোতে পেয়ে যাচ্ছেন SAH75।
বিস্তারিত জানতে চোখ রাখুন স্টেপের ফেইসবুক পেইজে
#SAH75",[],['https://www.facebook.com/Shakib.Al.Hasan/videos/1149874246308817/?__cft__[0]=AZVUyfEPaS7Vde6PXHtLU9Xdzhdg2eUWIb375Rx11LJqyZsitXOXy-pqPChVnFtCqAZtsNo6nB9qy_jbBqSWLmAnYkLCKXPEJQaU-nsf7WfMuwNuGVdH5wMYITcFMrdsEHkqE9Iuhq1-RA7tLQn9-LvbPqoYcABB9HzhHdGQPmJ5685NLxkycmHPItWwV4VV1yDHaDY6W-7J3GsGRhkdPgWpmYL9z8j7fHsxWZEijRtdvQ&__tn__=%2B%3FFH-R'],m
"It will be important for the Tigers to keep the winning momentum up when they take the Proteas on in the second group-stage match in New York.
নিউইয়র্কে গ্রুপ পর্বের দ্বিতীয় ম্যাচে প্রোটিয়াদের বিপক্ষে জয়ের গতি ধরে রাখাটা টাইগারদের জন্য গুরুত্বপূর্ণ হবে।
#SAH75",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448028197_1016736296472296_4145543016553482151_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=8L8Yq5B1VRwQ7kNvgG-vduV&_nc_ht=scontent.fird1-1.fna&oh=00_AYBrFei1FrCu_2aq04hpd-KDt8woSBRllRnRn3Y6QQtauw&oe=666F6038'],[],m
"স্ট্যাম্পে লাথি মারার সময় কি ভাবছিলেন সাকিব? জানতে হলে অপেক্ষা করুন। খুব শীঘ্রই আসছে অলিম্পিক এনার্জি প্লাসের সৌজন্যে সাকিব আল হাসানের এক্সক্লুসিভ ইন্টারভিউ 'সাকিব আল হাসান বিশ্বকাপ স্পেশাল' শুধুমাত্র Bongo-তে।
#ExclusiveInterview #ShakibAlHasan #SAH75 #Cricket  #Bangladesh #worldcup #bongo",[],['https://www.facebook.com/watch.bongo/videos/1176062287163210/?__cft__[0]=AZVafRZ0H1XKMRug6c9bVRs91LZUs9CYcOsdD9VDN0jzSWeLcWV9b_-irsJ0D8VVu7xoL-yyrMcxffTI1M8WOJv9GMRk3yzi1XbPxCvXnUkjCms7jz98o8UIXf5HUJikQvy5b79DbbkeiFXuqd1UL6fCctcADEIdZnfMEsp2QHs4xXlzCoZLtvOemxzEgOzJeQrZGuZCghmSJeth232EwASv&__tn__=%2B%3FFH-R'],m
"The triumphant Tigers begin their T20 World Cup campaign in style, defeating the Lankans by 2 wickets and sealing their first win of the tournament.
বিজয়ী টাইগাররা শৈলীতে তাদের টি-টোয়েন্টি বিশ্বকাপ যাত্রা শুরু করলো, লঙ্কানদের ২ উইকেটের জয়ের ম্যাধমে এবং টুর্নামেন্টে তাদের প্রথম জয় নিশ্চিত করে।
#SAH75",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447995167_1015915369887722_6825570171894045812_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=jf1WQsuyoDYQ7kNvgG8elex&_nc_ht=scontent.fird1-1.fna&oh=00_AYBasfrfCNyFP6ZPZQwcen4QRROtJplKLVyem8A8iHD7aw&oe=666F6276'],[],m
"শ্রীলঙ্কার খেলোয়াড় অ্যাঞ্জেলো ম্যাথিউজের সাথে সেই 'টাইম আউট' বিতর্ক নিয়ে এবার মুখ খুলবেন সাকিব আল হাসান। দেখতে চোখ রাখুন Bongo-তে। খুব শীঘ্রই আসছে  অলিম্পিক এনার্জি প্লাস বিস্কুটের সৌজন্যে এক্সক্লুসিভ ইন্টারভিউ 'সাকিব আল হাসান বিশ্বকাপ স্পেশাল'।
Stay tuned as Shakib Al Hasan finally speaks out about the 'time out' controversy with Sri Lankan player Angelo Mathews. Watch this exclusive interview, ""Shakib Al Hasan World Cup Special,"" coming soon on Bongo, presented by Olymp… See more",[],['https://www.facebook.com/watch.bongo/videos/983199950475151/?__cft__[0]=AZVoQEr0_X2PR7rEPP8HrVrDf8VwTJ938RNAcQgxqzRuxxKYE7ni6hwjRatwdy340pDYabNi0rzMVAJGsck1Ln15qQQklJlP8OseUO4JF8R1_mqRHao5MEezbm5zhjeU7NL1TBTyCWv6nuMMcOLkmCVWg1_IMXgdNGLEYWxaxjpobUEXySbQ7yjK4ogQTrY4gL0noFwHYE7QyUkkOhWR2Y5U&__tn__=%2B%3FFH-R'],m
"Step Footwear presents SAH75 নিয়ে এলো প্রিমিয়াম কোয়ালিটির অ্যাকটিভ ওয়্যার এবং এক্সেসোরির। শপিং'এর বাজারে এবার হবে ছক্কা। তাই শপিংয়ের আনন্দে মেতে উঠুন SAH75 এর সাথে।  স্টেপের নির্ধারিত শোরুমগুলোতে পেয়ে যাচ্ছেন SAH75।
বিস্তারিত জানতে চোখ রাখুন স্টেপের ফেইসবুক পেইজে
#SAH75",[],['https://www.facebook.com/Shakib.Al.Hasan/videos/1149874246308817/?__cft__[0]=AZVUyfEPaS7Vde6PXHtLU9Xdzhdg2eUWIb375Rx11LJqyZsitXOXy-pqPChVnFtCqAZtsNo6nB9qy_jbBqSWLmAnYkLCKXPEJQaU-nsf7WfMuwNuGVdH5wMYITcFMrdsEHkqE9Iuhq1-RA7tLQn9-LvbPqoYcABB9HzhHdGQPmJ5685NLxkycmHPItWwV4VV1yDHaDY6W-7J3GsGRhkdPgWpmYL9z8j7fHsxWZEijRtdvQ&__tn__=%2B%3FFH-R'],m
