text,images,videos,gender
"২০২৪-২৫ অর্থ বছরের খসড়া বাজেট সংসদে পেশ করেছেন অর্থমন্ত্রী। অর্থনীতির এক কঠিন সময়ে বাজেটটি পেশ করা হয়েছে। তাই একে ঘিরে প্রবল জনমনোযোগ থাকার কথা। বাস্তবেও তাই দেখছি। প্রচুর কথা হচ্ছে বাজেটকে ঘিরে। সরকারি ও বিরোধী দলের নেতৃবৃন্দ ছাড়াও অন্যান্য অংশীজনরাও কথা বলছেন। অর্থনীতিবিদরা তো বলছেনই। তাছাড়া ব্যবসায়ীদের বিভিন্ন চেম্বার, নানা ধরনের নাগরিক প্ল্যাটফর্ম এবং মতামত তৈরির প্রভাবক মহল প্রচুর কথা বলছেন। খুব ভালো হতো যদি সংসদের স্থায়ী কমিটিগুলো তাদের নিজ নিজ খাতের জন্য অন্তত তিনট… See more",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447971882_1003154151168123_5870545721472459950_n.jpg?stp=dst-jpg_p180x540&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=r4aTY0yefUYQ7kNvgHDNitd&_nc_ht=scontent.fird1-1.fna&oh=00_AYCpy8Hgb7zZl2BaqV9LmZjlGsaLP_13CRKwVEl_AgeDFg&oe=666F38FE'],[],m
বলা যায় সময়ের চাহিদার আলোকেই একটি প্রাসঙ্গিক বাজেট সংসদে পেশ করা হয়েছে। ভালো-মন্দ দইই আছে প্রস্তাবিত বাজেটে। দেশের ভেতরের ও বাইরের নানামুখী চাপ সামলাতে ২০২৪-২৫ অর্থবছরের জন্য বরাবরের চেয়ে সংকোচনমুখী বাজেট প্রস্তাবিত হতে যাচ্ছে—এমনটি আগেই ধারণা করা গিয়েছিল। দেখা যাচ্ছে যে বাস্তবতার নিরিখে এডিপিতে বেশি বেশি প্রকল্প বাবদ ব্যয় বরাদ্দ না রাখার যে পরামর্শ ছিল সেটিও গুরুত্বের সঙ্গেই বিবেচনা করেছেন আমাদের বাজেট প্রণেতারা। এরই মধ্যে কেন্দ্রীয় ব্যাংক সংকোচনমূলক মুদ্রানীতি বাস্তবায়ন করছ… See more,[],[],m
"চ্যালেঞ্জিং এই সময়ে যথেষ্ট কৌশলের সঙ্গেই এবারের বাজেট প্রণয়নের চেষ্টা করা হয়েছে। তাই আগের চেয়ে আলাদাভাবেই বিশ্লেষণ ও মূল্যায়ন করতে হবে। আমরা আরও আগে থেকেই বলে আসছি যে বাইরের এবং ভেতরের নানামুখী চাপে আছে আমাদের অর্থনীতি। কারণ একদিকে ভূ-রাজনৈতিক অস্থিরতার জেরে বৈশ্বিক অর্থনীতির টালমাটাল অবস্থা, অন্যদিকে আমাদের নিজস্ব সামষ্টিক অর্থনীতিও চ্যালেঞ্জিং সময়ের মধ্য দিয়ে যাচ্ছে। বড় রকমের অনিশ্চয়তা দানা বেঁধেছে অর্থনীতিকে ঘিরে। তা ছাড়া নতুন সরকারেরও এটি প্রথম বাজেট। কাজেই এই ব… See more",[],[],m
"২০২৪-২৫ অর্থ বছরের খসড়া বাজেট সংসদে পেশ করেছেন অর্থমন্ত্রী। অর্থনীতির এক কঠিন সময়ে বাজেটটি পেশ করা হয়েছে। তাই একে ঘিরে প্রবল জনমনোযোগ থাকার কথা। বাস্তবেও তাই দেখছি। প্রচুর কথা হচ্ছে বাজেটকে ঘিরে। সরকারি ও বিরোধী দলের নেতৃবৃন্দ ছাড়াও অন্যান্য অংশীজনরাও কথা বলছেন। অর্থনীতিবিদরা তো বলছেনই। তাছাড়া ব্যবসায়ীদের বিভিন্ন চেম্বার, নানা ধরনের নাগরিক প্ল্যাটফর্ম এবং মতামত তৈরির প্রভাবক মহল প্রচুর কথা বলছেন। খুব ভালো হতো যদি সংসদের স্থায়ী কমিটিগুলো তাদের নিজ নিজ খাতের জন্য অন্তত তিনট… See more",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447971882_1003154151168123_5870545721472459950_n.jpg?stp=dst-jpg_p180x540&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=r4aTY0yefUYQ7kNvgHDNitd&_nc_ht=scontent.fird1-1.fna&oh=00_AYCpy8Hgb7zZl2BaqV9LmZjlGsaLP_13CRKwVEl_AgeDFg&oe=666F38FE'],[],m
বলা যায় সময়ের চাহিদার আলোকেই একটি প্রাসঙ্গিক বাজেট সংসদে পেশ করা হয়েছে। ভালো-মন্দ দইই আছে প্রস্তাবিত বাজেটে। দেশের ভেতরের ও বাইরের নানামুখী চাপ সামলাতে ২০২৪-২৫ অর্থবছরের জন্য বরাবরের চেয়ে সংকোচনমুখী বাজেট প্রস্তাবিত হতে যাচ্ছে—এমনটি আগেই ধারণা করা গিয়েছিল। দেখা যাচ্ছে যে বাস্তবতার নিরিখে এডিপিতে বেশি বেশি প্রকল্প বাবদ ব্যয় বরাদ্দ না রাখার যে পরামর্শ ছিল সেটিও গুরুত্বের সঙ্গেই বিবেচনা করেছেন আমাদের বাজেট প্রণেতারা। এরই মধ্যে কেন্দ্রীয় ব্যাংক সংকোচনমূলক মুদ্রানীতি বাস্তবায়ন করছ… See more,[],[],m
"চ্যালেঞ্জিং এই সময়ে যথেষ্ট কৌশলের সঙ্গেই এবারের বাজেট প্রণয়নের চেষ্টা করা হয়েছে। তাই আগের চেয়ে আলাদাভাবেই বিশ্লেষণ ও মূল্যায়ন করতে হবে। আমরা আরও আগে থেকেই বলে আসছি যে বাইরের এবং ভেতরের নানামুখী চাপে আছে আমাদের অর্থনীতি। কারণ একদিকে ভূ-রাজনৈতিক অস্থিরতার জেরে বৈশ্বিক অর্থনীতির টালমাটাল অবস্থা, অন্যদিকে আমাদের নিজস্ব সামষ্টিক অর্থনীতিও চ্যালেঞ্জিং সময়ের মধ্য দিয়ে যাচ্ছে। বড় রকমের অনিশ্চয়তা দানা বেঁধেছে অর্থনীতিকে ঘিরে। তা ছাড়া নতুন সরকারেরও এটি প্রথম বাজেট। কাজেই এই ব… See more",[],[],m
"বাংলাদেশের অর্থনীতি ভেতরের এবং বাইরের চাপ একই সঙ্গে মোকাবেলা করেই এগিয়ে চলেছে।তবে আমাদের নিজস্ব অর্থনৈতিক কাঠামোগত সংকট এই বৈশ্বিক অস্থিরতার জেরে আরও বেশি প্রকট হয়ে সামনে আসছে। প্রবৃদ্ধির চাকাকে আরও গতিশীল করার চেয়ে তাই এখন বেশি নীতি-মনোযোগ দরকার সামষ্টিক অর্থনৈতিক ভারসাম্য রক্ষার দিকে। এই প্রেক্ষাপটে রিজার্ভ ক্ষয়রোধ এবং মূল্যস্ফীতিকে নিয়ন্ত্রণে আনতে চলমান মুদ্রানীতির সঙ্গে তাল মিলিয়ে আমাদের বাজেটকে অবশ্যই সঙ্কোচনমুখী হতে হবে।
-
আজ সময়ের আলো পত্রিকায় প্রকাশিত কলামটি পড়তে ক্লি… See more",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447035930_997158218434383_5015424198162327478_n.jpg?stp=dst-jpg_p180x540&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=i672oit1448Q7kNvgHJu9ZU&_nc_ht=scontent.fird1-1.fna&oh=00_AYDbjDX4nV4FPc9rG206fS0H_tVQPrYkKmh7iDfJYaDLyg&oe=666F278A'],[],m
"আগামী বাজেটে জলবায়ু অর্থায়নে অগ্রাধিকার নিশ্চিত করতে হবে!
-
জলবায়ু পরিবর্তনের যে ব্যাপক বিরূপ প্রভাব বাংলাদেশ-সহ গোটা বিশ্বকে মোকাবিলা করতে হচ্ছে, তার প্রেক্ষাপটে সরকারকে আসন্ন বাজেটে জলবায়ু অর্থায়নকে কেন্দ্রীয় বিবেচনার জায়াগায় রাখতে হবে- বলেছেন বাংলাদেশ ব্যাংকের সাবেক গভর্নর- ইমেরিটাস অধ্যাপক ড. আতিউর রহমান। আজ (২৩ মে ২০২৪) ঢাকা বিশ্ববিদ্যালয়ের সিনেট ভবনে ন্যাশনাল রিনিউয়েবল এনার্জি কনফারেন্সের একটি অধিবেশনে বিশেষ অতিথির বক্তব্যে তিনি এ কথা বলেন। বিশ্ববিদ্যালয়ের উপ-উপাচার্য (… See more","['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/441492546_992624775554394_5058348249331906920_n.jpg?stp=dst-jpg_p526x395&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=SoseO6Idou0Q7kNvgG883wS&_nc_ht=scontent.fird1-1.fna&oh=00_AYCo-JGsEqdxo8w48CF7fH4ZBdR2XVGbm_uMijyOHMIHfA&oe=666F1262', 'https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/444752990_992624842221054_3520547362368419354_n.jpg?stp=dst-jpg_p526x395&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OpNDYHQk9sQQ7kNvgGBZYlX&_nc_ht=scontent.fird1-1.fna&oh=00_AYBGRaOKYgPnaPDYjmEj-fsclOZPHPjCa_fWN9YpktdXpw&oe=666F3685', 'https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/442415879_992624825554389_6235510358624257850_n.jpg?stp=dst-jpg_p526x395&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=bRF4OMIbrzkQ7kNvgGsJrOY&_nc_ht=scontent.fird1-1.fna&oh=00_AYACsf9pEQxL5L4wUKhSOlnTVzGetCW91D0tI9wPtIZm0g&oe=666F25CF', 'https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/442481352_992624765554395_4705867150920130492_n.jpg?stp=dst-jpg_p526x395&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lxQCQvxaEbQQ7kNvgGDw1iz&_nc_ht=scontent.fird1-1.fna&oh=00_AYANWu7i_ydzbeaC9hhMaWhLqewqVY1PeOrwrGf6pJR1cw&oe=666F2AF5', 'https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/442439785_992624785554393_1892600280783276262_n.jpg?stp=dst-jpg_p526x395&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iExKRP1i1QEQ7kNvgE5BnGD&_nc_ht=scontent.fird1-1.fna&oh=00_AYBF4mzwYHRF6OnByGA2ENwWCBJfSYCp-PsNyX0OIaerDA&oe=666F3323']",[],m
"নিঃসন্দেহে কিংবদন্তি লেখক ও সাংবাদিক আব্দুল গাফ্ফার চৌধুরী আজও বেঁচে আছেন এ দেশের কোটি কোটি হৃদয়ে। ভাষা আন্দোলনকে অমরত্ব দান করেই তিনি থেমে থাকেননি। বাঙালি জাতীয়তাবাদের বুদ্ধিবৃত্তিক জমিনকে উর্বর করেছেন তার অসংখ্য লেখায়। দেশ স্বাধীন হওয়ার পরও দীর্ঘ ৫০ বছরেরও বেশি সময় ধরে তিনি কলম চালিয়েছেন প্রগতি ও মুক্তির পক্ষে। উদারনৈতিক, অসাম্প্রদায়িক, দুর্নীতিমুক্ত এবং বঙ্গবন্ধুর স্বপ্নের আদলের বাংলাদেশের জন্য তিনি দু’হাতে লিখেছেন।
-
কলামটি পড়তে ক্লিক করুন: https://www.khaborerkagoj.com/golden-line/814287",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/441315135_989409309209274_1471170827453389442_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=4qaA1n_mc6EQ7kNvgFZws4P&_nc_ht=scontent.fird1-1.fna&oh=00_AYBNGUVTRIvCLJAIwYzfWfE36umpLAd0OEMIgjPtsHi1dw&oe=666F27ED'],[],m
"২০২৪-২৫ অর্থ বছরের খসড়া বাজেট সংসদে পেশ করেছেন অর্থমন্ত্রী। অর্থনীতির এক কঠিন সময়ে বাজেটটি পেশ করা হয়েছে। তাই একে ঘিরে প্রবল জনমনোযোগ থাকার কথা। বাস্তবেও তাই দেখছি। প্রচুর কথা হচ্ছে বাজেটকে ঘিরে। সরকারি ও বিরোধী দলের নেতৃবৃন্দ ছাড়াও অন্যান্য অংশীজনরাও কথা বলছেন। অর্থনীতিবিদরা তো বলছেনই। তাছাড়া ব্যবসায়ীদের বিভিন্ন চেম্বার, নানা ধরনের নাগরিক প্ল্যাটফর্ম এবং মতামত তৈরির প্রভাবক মহল প্রচুর কথা বলছেন। খুব ভালো হতো যদি সংসদের স্থায়ী কমিটিগুলো তাদের নিজ নিজ খাতের জন্য অন্তত তিনট… See more",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447971882_1003154151168123_5870545721472459950_n.jpg?stp=dst-jpg_p180x540&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=r4aTY0yefUYQ7kNvgHDNitd&_nc_ht=scontent.fird1-1.fna&oh=00_AYCpy8Hgb7zZl2BaqV9LmZjlGsaLP_13CRKwVEl_AgeDFg&oe=666F38FE'],[],m
