text,images,videos,gender
Hard luck today. We gave it our all and came so close. Thank you for the incredible support. We’ll keep pushing forward ,['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447849535_1024175919062240_4464939274827802128_n.jpg?stp=dst-jpg_s640x640&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=SrXiEQ7DElIQ7kNvgEXXxgT&_nc_ht=scontent.fird1-1.fna&oh=00_AYCSSgUyK-3KWpRhA7G2lTOMAnf4hNvkrQcNembVVH4L2Q&oe=666DD6AB'],[],m
South Africa 113/6 in 20 overs. Bangladesh need 114 runs to win. Best wishes Bangladesh Cricket : The Tigers! -Admin,['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448189038_1024121089067723_3138015725346037757_n.jpg?stp=dst-jpg_p843x403&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TxUcXKBPZfkQ7kNvgG-z_D0&_nc_ht=scontent.fird1-1.fna&oh=00_AYAcz5yBNwZOqXMCpR_Xo4VSpVLbck70riE7JqMMNzk08A&oe=666DE288'],[],m
"𝗠𝗮𝘁𝗰𝗵𝗱𝗮𝘆
     8.30 PM 
 10 June, 2024
 New York, USA
Keep us in your… See more",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/448020501_1023978262415339_1110085127216627662_n.jpg?stp=dst-jpg_p526x296&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=AcAU9VvQi4kQ7kNvgEcLKBd&_nc_ht=scontent.fird1-1.fna&oh=00_AYAP9op4cKuJuRYtAFDyNaBBHP9uhFsuu21PpXitUrJP1A&oe=666DDF3D'],[],m
Moving to New York. Next Mission: South Africa. #T20WorldCup2024,['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447888605_1023065899173242_4940367824822076806_n.jpg?stp=dst-jpg_p526x296&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=3nQE-eMOeAcQ7kNvgHxm31U&_nc_ht=scontent.fird1-1.fna&oh=00_AYAX-awe2Op97IJ4-A__ij7PRyr5Ypv6IchIdG1s7OE8dg&oe=666DDC55'],[],m
Grateful for the team effort that led to our victory. Alhamdulillah ,['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447902001_1022667452546420_6304870114909023902_n.jpg?stp=dst-jpg_p180x540&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=tuDfU6aj2nkQ7kNvgGNy61t&_nc_ht=scontent.fird1-1.fna&oh=00_AYDYzH5LqJGNJU-fwDT5_aXIPWKlrKbNRzh_IubkqMcv4g&oe=666DFBB2'],[],m
"এয়ারপোর্টে ফ্যানদের কাছ থেকে সম্মান পেয়েছি বহুবার। কিন্তু কাউকে সম্মান দেওয়ার ঘটনা আমার জন্য এই প্রথম। যারা দেশ ছেড়ে, কষ্ট করে ইনকাম করেন, দেশে আপনজনকে রেমিটেন্স পাঠান, তাঁরাইতো আসল হিরো। এই রেমিটেন্স বীরদের সন্মান দিতে পেরে আমি গর্বিত। এমন একটি আয়োজনে আমাকে সাথে রাখার জন্য নগদকে ধন্যবাদ।",[],['https://www.facebook.com/Mahmudullah.Riyad/videos/1006082347035660/?__cft__[0]=AZVCY_nW_lwnEQ6OVyxEf6i2mkO9XmPo4Qx2t625A0buKVUbgeQMw2ujfsccgf26bp0bYIlY6y4FASZ4FJV5wg7zrlI2KimUNT-TplK51kdmCQD3D8F2OGUH35HsQ5-Wwp7aJTRF9EtKUf_GNYNLbVD-nZp1p2bohSFQq6w9Kx5jXjrxFUDmQ1APgzOIByQbDyEQBb5XIkMVpvS_iiDwK7JuSElLPU3ABCj4mERNtdCsOw&__tn__=%2B%3FFH-R'],m
Many congratulations to Nagad & Tanvir Bhai. My best wishes are always there for you.,['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/442505347_1020160756130423_4376898516972626313_n.jpg?stp=dst-jpg_p526x296&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=nwwfa438ArcQ7kNvgGYOwKv&_nc_ht=scontent.fird1-1.fna&oh=00_AYDn6UKypTV7a6j-v5FoGd61k4gNLYMDtyVMOu8UcsJwCw&oe=666DD88E'],[],m
"T20I Career Stats of Mahmudullah Riyad!
Credit: BDSportsTime",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/447277145_965442015586355_7162486806266669808_n.jpg?stp=dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=aa1NiuQX4bMQ7kNvgFvj_kn&_nc_ht=scontent.fird1-1.fna&oh=00_AYCGF3PBPa97Ch_HUDM0PXbE0aVvaKIFZ9suXwW8T8pQkQ&oe=666E0768'],[],m
"আমি, মাহমুদুল্লাহ রিয়াদ আপনার সাথে দল বানাবো । কে কে থাকতে চান আমার দলে? 
আমার সাথে দল বানিয়ে, জিতে নিতে পারেন Hisense-এর এসি বা SAMSUNG-এর স্মার্টফোন। দল বানাতে-
 কমেন্টে দেওয়া লিংকে ক্লিক করুন 
 আমাকে সিলেক্ট করুন 
… See more",[],['https://www.facebook.com/Mahmudullah.Riyad/videos/2782275965263090/?__cft__[0]=AZV25VW9rQWhddNpS9q6A9Z_dyaOs375nigzEHYcp3XTX2cvqsSadM3j1rRrWMtwKZ1gykYTG_KTHAzTlCkRW3kLRzEvNZ8F3ABpfPwCmG27G0ZgQJ0cNWGP1J-o3CrIeiVjv46htwFwqTkgt4ft2SmMlN9Ptz31JjuTBUc6dWNxEulUuHHcnNj-MhGx22aR8ePqT4FjXMZ2cUObp_LEpIFQiWwhF_86eigixorS2HkiGw&__tn__=%2B%3FFH-R'],m
"8th T20I fifty for Mahmudullah
-Admin",['https://scontent.fird1-1.fna.fbcdn.net/v/t39.30808-6/441059843_1006916597454839_2546909847259305024_n.jpg?stp=dst-jpg_p526x296&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=aDB_ONFwhlkQ7kNvgFFpKyC&_nc_ht=scontent.fird1-1.fna&oh=00_AYBuZxKI_tviEH07wrrFOsjajX5_JemNuoU1PlInPtJ09Q&oe=666DDD15'],[],m
